"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r1","p_base",1.100000,99,55424,2,1
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r2","p_base",1.100000,99,55672,2,2
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r3","p_base",1.090000,100,55388,2,3
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r4","p_base",1.090000,99,55376,2,4
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r5","p_base",1.100000,99,55352,2,5
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r6","p_base",1.090000,99,55680,2,6
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r7","p_base",1.090000,99,55636,2,7
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r8","p_base",1.090000,99,55380,2,8
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r9","p_base",1.090000,99,55676,2,9
"java",1,"matrix_multiplication","java_phase2_matmul_p_base_p1_r10","p_base",1.090000,99,55680,2,10
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r1","p_best",0.200000,666,57304,2,1
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r2","p_best",0.200000,663,57488,2,2
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r3","p_best",0.200000,668,57664,2,3
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r4","p_best",0.200000,668,57172,2,4
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r5","p_best",0.210000,675,57676,2,5
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r6","p_best",0.210000,671,57372,2,6
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r7","p_best",0.210000,668,57476,2,7
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r8","p_best",0.200000,658,57340,2,8
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r9","p_best",0.200000,666,57480,2,9
"java",8,"matrix_multiplication","java_phase2_matmul_p_best_p8_r10","p_best",0.200000,658,57636,2,10
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r1","p_base",0.120000,96,128464,2,1
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r2","p_base",0.130000,97,128404,2,2
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r3","p_base",0.140000,96,128196,2,3
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r4","p_base",0.130000,96,128304,2,4
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r5","p_base",0.130000,95,128516,2,5
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r6","p_base",0.130000,97,128504,2,6
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r7","p_base",0.130000,96,128480,2,7
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r8","p_base",0.130000,96,128308,2,8
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r9","p_base",0.130000,96,128420,2,9
"java",1,"parallel_sort","java_phase2_sort_p_base_p1_r10","p_base",0.130000,96,128428,2,10
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r1","p_best",0.080000,267,164692,2,1
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r2","p_best",0.090000,263,166744,2,2
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r3","p_best",0.080000,263,165544,2,3
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r4","p_best",0.090000,273,169356,2,4
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r5","p_best",0.080000,265,166300,2,5
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r6","p_best",0.080000,267,167312,2,6
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r7","p_best",0.100000,264,165472,2,7
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r8","p_best",0.090000,272,164228,2,8
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r9","p_best",0.090000,265,167788,2,9
"java",4,"parallel_sort","java_phase2_sort_p_best_p4_r10","p_best",0.090000,280,165448,2,10
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r1","p_base",0.090000,97,43408,2,1
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r2","p_base",0.090000,100,43460,2,2
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r3","p_base",0.100000,93,43292,2,3
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r4","p_base",0.100000,96,43456,2,4
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r5","p_base",0.090000,97,43388,2,5
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r6","p_base",0.090000,98,43840,2,6
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r7","p_base",0.090000,98,43408,2,7
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r8","p_base",0.090000,97,43552,2,8
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r9","p_base",0.090000,100,43288,2,9
"java",1,"producer_consumer","java_phase2_prod-cons_p_base_p1_r10","p_base",0.090000,97,43300,2,10
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r1","p_best",0.060000,195,47176,2,1
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r2","p_best",0.060000,187,46804,2,2
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r3","p_best",0.060000,183,46748,2,3
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r4","p_best",0.050000,203,46568,2,4
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r5","p_best",0.050000,205,46900,2,5
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r6","p_best",0.050000,208,47032,2,6
"java",4,"producer_consumer","java_phase2_prod-cons_p_best_p4_r7","p_best",0.050000,203,46792,2,7
